Timer	Command	Error
69.51	turn left	None
69.61	turn left	None
69.72	turn left	None
69.82	turn left	None
69.93	turn left	None
70.03	turn left	None
70.13	turn left	None
70.24	turn left	None
70.34	turn left	None
70.45	turn left	None
70.55	turn left	None
70.66	turn left	None
70.76	turn left	None
70.87	turn left	None
71.07	forward	None
71.18	forward	None
71.28	forward	None
71.38	forward	None
71.49	forward	None
71.69	turn right slightly	None
71.80	turn right slightly	None
71.90	turn right slightly	None
72.01	turn right slightly	None
72.11	turn right slightly	None
72.22	turn right slightly	None
72.42	forward	None
72.53	forward	None
72.63	forward	None
72.74	forward	None
72.84	forward	None
72.94	forward	None
73.15	turn left slightly	None
73.25	turn left slightly	None
73.36	turn left slightly	None
73.46	turn left slightly	None
73.78	forward	None
73.88	forward	None
73.98	forward	None
74.09	forward	None
74.19	forward	None
74.30	forward	None
74.40	forward	None
74.61	turn left slightly	None
74.71	turn left slightly	None
74.81	turn left slightly	None
74.92	turn left slightly	None
75.02	turn left slightly	None
75.13	turn left slightly	None
75.23	turn left	None
75.34	turn left	None
75.44	turn left	None
75.54	turn left	None
75.65	turn left	None
75.75	turn left	None
75.86	turn left	None
75.96	turn left	None
76.06	turn left	None
76.17	turn left	None
76.27	turn left	None
76.38	turn left	None
76.48	turn left	None
76.59	turn left	None
76.69	turn left	None
76.79	turn left	None
77.00	forward	None
77.10	forward	None
77.21	forward	None
77.31	forward	None
77.42	forward	None
77.84	turn left slightly	None
77.94	turn left slightly	None
78.05	turn left slightly	None
78.15	turn left slightly	None
78.26	turn left slightly	None
78.36	turn left slightly	None
78.46	turn left slightly	None
78.57	turn left slightly	None
78.67	turn left slightly	None
78.88	forward	None
78.98	forward	None
79.09	forward	None
79.19	forward	None
79.30	forward	None
79.40	forward	None
79.61	turn right slightly	None
79.71	turn right slightly	None
79.82	turn right slightly	None
79.92	turn right slightly	None
80.03	turn right slightly	None
80.13	turn right slightly	None
80.24	turn right slightly	None
80.34	turn right slightly	None
80.45	turn right slightly	None
80.55	turn right slightly	None
80.65	turn right slightly	None
80.76	turn right slightly	None
80.86	turn right slightly	None
80.97	turn right slightly	None
81.07	turn right slightly	None
81.28	forward	None
81.38	forward	None
81.49	forward	None
81.59	forward	None
81.69	forward	None
81.80	forward	None
81.90	forward	None
82.01	forward	None
82.11	forward	None
82.21	forward	None
82.32	forward	None
82.42	forward	None
82.63	turn left slightly	None
82.73	turn left slightly	None
82.84	turn left slightly	None
82.94	turn left slightly	None
83.05	turn left slightly	None
83.15	turn left slightly	None
83.36	forward	None
83.46	forward	None
83.56	forward	None
83.77	turn left	None
83.87	turn left	None
83.98	turn left	None
84.08	turn left	None
84.19	turn left	None
84.29	turn left	None
84.40	turn left	None
84.50	turn left	None
84.60	turn left	None
84.71	turn left	None
84.81	turn left	None
84.92	turn left	None
85.02	turn left	None
85.12	turn left	None
85.23	turn left	None
85.33	turn left	None
85.44	turn left	None
85.54	turn left	None
85.64	turn left	None
85.75	turn left	None
85.96	forward	None
86.06	forward	None
86.16	forward	None
86.27	forward	None
86.37	forward	None
86.48	forward	None
86.58	forward	None
86.68	forward	None
86.79	forward	None
86.89	forward	None
87.00	forward	None
87.10	forward	None
87.20	forward	None
87.31	forward	None
87.41	forward	None
88.91	turn right slightly	None
89.02	turn right slightly	None
89.22	forward	None
89.65	forward	None
89.76	forward	None
89.86	forward	None
89.96	forward	None
90.07	forward	None
90.60	turn left	None
90.70	turn left	None
90.81	turn left	None
91.23	forward	None
91.33	forward	None
91.44	forward	None
91.64	turn left	None
91.75	turn left	None
91.85	turn left	None
91.96	turn left	None
92.06	turn left	None
92.17	turn left	None
92.27	turn left	None
92.37	turn left	None
92.48	turn left	None
92.58	turn left	None
92.69	turn left	None
92.79	turn left	None
92.90	turn left	None
93.00	turn left	None
93.11	turn left	None
93.31	forward	None
93.42	forward	None
93.52	forward	None
93.63	forward	None
93.73	forward	None
93.83	forward	None
93.94	forward	None
94.04	forward	None
94.15	forward	None
94.25	forward	None
94.35	forward	None
94.46	forward	None
94.56	forward	None
94.67	forward	None
94.87	turn right slightly	None
94.98	turn right slightly	None
95.08	turn right slightly	None
95.19	turn right slightly	None
95.29	turn right slightly	None
95.39	turn right slightly	None
95.50	turn right slightly	None
95.60	turn right slightly	None
95.71	turn right slightly	None
95.91	forward	None
96.02	forward	None
96.12	forward	None
96.23	forward	None
96.33	forward	None
96.43	forward	None
96.54	forward	None
96.64	forward	None
96.75	forward	None
96.85	forward	None
96.95	forward	None
97.16	turn left slightly	None
97.27	turn left slightly	None
97.37	turn left slightly	None
97.47	turn left slightly	None
97.58	turn left slightly	None
97.68	turn left	None
97.79	turn left	None
97.89	turn left	None
98.00	turn left	None
98.10	turn left	None
98.20	turn left	None
98.31	turn left	None
98.41	turn left	None
98.52	turn left	None
98.62	turn left	None
98.73	turn left	None
98.83	turn left	None
98.93	turn left	None
99.04	turn left	None
99.14	turn left	None
99.25	turn left	None
99.35	turn left	None
99.46	turn left	None
99.66	forward	None
99.77	forward	None
99.87	forward	None
99.97	forward	None
100.18	turn right slightly	None
100.29	turn right slightly	None
100.39	turn right slightly	None
100.49	turn right slightly	None
100.60	turn right slightly	None
100.70	turn right slightly	None
100.91	forward	None
101.01	forward	None
101.12	forward	None
101.22	forward	None
101.33	forward	None
101.43	forward	None
101.53	forward	None
101.64	forward	None
101.74	forward	None
101.85	forward	None
102.05	turn left slightly	None
102.16	turn left slightly	None
102.26	turn left slightly	None
102.36	turn left slightly	None
102.47	turn left slightly	None
102.57	turn left slightly	None
102.68	turn left slightly	None
102.78	turn left slightly	None
102.89	turn left slightly	None
102.99	turn left slightly	None
103.20	forward	None
103.30	forward	None
103.41	forward	None
103.61	turn left	None
103.72	turn left	None
103.82	turn left	None
103.93	turn left	None
104.03	turn left	None
104.13	turn left	None
104.24	turn left	None
104.34	turn left	None
104.45	turn left	None
104.55	turn left	None
104.65	turn left	None
104.76	turn left	None
104.86	turn left	None
104.97	turn left	None
105.07	turn left	None
105.18	turn left	None
105.28	turn left	None
105.38	turn left	None
105.59	forward	None
105.69	forward	None
105.80	forward	None
105.90	forward	None
106.01	forward	None
106.11	forward	None
106.22	forward	None
106.42	turn left slightly	None
106.53	turn left slightly	None
106.63	turn left slightly	None
106.73	turn left slightly	None
106.84	turn left slightly	None
107.15	forward	None
107.26	forward	None
107.36	forward	None
107.47	forward	None
107.57	forward	None
107.67	forward	None
107.88	turn right slightly	None
107.99	turn right slightly	None
108.09	turn right slightly	None
108.19	turn right slightly	None
108.30	turn right slightly	None
108.40	turn right slightly	None
108.51	turn right slightly	None
108.61	turn right slightly	None
108.72	turn right slightly	None
108.82	turn right slightly	None
108.93	turn right slightly	None
109.03	turn right slightly	None
109.13	turn right slightly	None
109.24	turn right slightly	None
109.34	turn right slightly	None
109.45	turn right slightly	None
109.65	forward	None
109.76	forward	None
109.86	forward	None
109.97	forward	None
110.07	forward	None
110.17	forward	None
110.28	forward	None
110.38	forward	None
110.49	forward	None
110.59	forward	None
110.80	turn left slightly	None
110.90	turn left slightly	None
111.01	turn left slightly	None
111.11	turn left slightly	None
111.22	turn left slightly	None
111.32	turn left slightly	None
111.43	turn left slightly	None
111.53	turn left slightly	None
111.63	turn left slightly	None
111.74	turn left slightly	None
111.94	forward	None
112.05	forward	None
112.25	turn left	None
112.36	turn left	None
112.46	turn left	None
112.57	turn left	None
112.67	turn left	None
112.78	turn left	None
112.88	turn left	None
112.99	turn left	None
113.09	turn left	None
113.19	turn left	None
113.30	turn left	None
113.40	turn left	None
113.51	turn left	None
113.61	turn left	None
113.72	turn left	None
113.82	turn left	None
113.92	turn left	None
114.03	turn left	None
114.13	turn left	None
114.24	turn left	None
114.44	forward	None
114.55	forward	None
114.65	forward	None
114.75	forward	None
114.96	turn right slightly	None
115.07	turn right slightly	None
115.17	turn right slightly	None
115.38	forward	None
115.48	forward	None
115.58	forward	None
115.69	forward	None
115.79	forward	None
115.90	forward	None
116.00	forward	None
116.11	forward	None
116.21	forward	None
116.31	forward	None
116.42	forward	None
116.52	forward	None
116.63	forward	None
116.73	forward	None
116.83	forward	None
117.04	turn left	None
117.14	turn left	None
117.25	turn left	None
117.35	turn left	None
117.46	turn left	None
117.56	turn left	None
117.67	turn left	None
117.77	turn left	None
117.87	turn left	None
117.98	turn left	None
118.18	forward	None
118.29	forward	None
118.39	forward	None
118.60	turn left	None
118.70	turn left	None
118.81	turn left	None
118.91	turn left	None
119.02	turn left	None
119.12	turn left	None
119.23	turn left	None
119.43	forward	None
119.54	forward	None
119.64	forward	None
119.75	forward	None
119.85	forward	None
119.95	forward	None
120.38	forward	None
120.49	forward	None
121.77	turn right slightly	None
121.88	turn right slightly	None
121.98	turn right slightly	None
122.08	turn right slightly	None
122.19	turn right slightly	None
122.29	turn right slightly	None
122.40	turn right slightly	None
122.50	turn right slightly	None
122.61	turn right slightly	None
122.71	turn right slightly	None
122.81	turn right slightly	None
122.92	turn right slightly	None
123.12	forward	None
123.23	forward	None
123.33	forward	None
123.44	forward	None
123.54	forward	None
123.65	forward	None
123.85	turn left	None
123.96	turn left	None
124.06	turn left	None
124.27	forward	None
124.37	forward	None
124.48	forward	None
124.58	forward	None
124.79	turn left slightly	None
124.89	turn left slightly	None
125.10	turn left	None
125.21	turn left	None
125.31	turn left	None
125.42	turn left	None
125.52	turn left	None
125.62	turn left	None
125.73	turn left	None
125.83	turn left	None
125.94	turn left	None
126.04	turn left	None
126.14	turn left	None
126.25	turn left	None
126.35	turn left	None
126.46	turn left	None
126.56	turn left	None
126.67	turn left	None
126.87	forward	None
126.98	forward	None
127.08	forward	None
127.18	forward	None
127.50	turn left	None
127.60	turn left	None
127.81	forward	None
127.91	forward	None
128.02	forward	None
128.12	forward	None
128.33	turn right slightly	None
128.43	turn right slightly	None
128.54	turn right slightly	None
128.64	turn right slightly	None
128.74	turn right slightly	None
128.85	turn right slightly	None
128.95	turn right slightly	None
129.16	forward	None
129.26	forward	None
129.37	forward	None
129.47	forward	None
129.58	forward	None
129.68	forward	None
129.89	turn left slightly	None
129.99	turn left slightly	None
130.10	turn left slightly	None
130.20	turn left slightly	None
130.31	turn left slightly	None
130.41	turn left slightly	None
130.52	turn left slightly	None
130.62	turn left slightly	None
130.73	turn left slightly	None
130.83	turn left slightly	None
130.94	turn left slightly	None
131.04	turn left slightly	None
131.25	forward	None
131.35	forward	None
131.56	turn left	None
131.66	turn left	None
131.77	turn left	None
131.87	turn left	None
131.98	turn left	None
132.08	turn left	None
132.18	turn left	None
132.29	turn left	None
132.39	turn left	None
132.50	turn left	None
132.60	turn left	None
132.71	turn left	None
132.81	turn left	None
132.91	turn left	None
133.02	turn left	None
133.12	turn left	None
