Timer	Command	Error
1.70	forward	None
1.80	forward	None
1.90	forward	None
2.00	forward	None
2.11	forward	None
2.21	forward	None
2.31	forward	None
2.41	forward	None
2.62	turn left	None
2.72	turn left	None
2.82	turn left	None
2.92	turn left	None
3.03	turn left	None
3.13	turn left	None
3.23	turn left	None
3.44	forward	None
3.54	forward	None
3.64	forward	None
3.74	forward	None
3.95	turn left	None
4.05	turn left	None
4.15	turn left	None
4.25	turn left	None
4.36	turn left	None
4.46	turn left	None
4.56	turn left	None
4.67	turn left	None
4.77	turn left	None
4.87	turn left	None
4.98	turn left	None
5.08	turn left	None
5.19	turn left	None
5.29	turn left	None
5.40	turn left	None
5.50	turn left	None
5.61	turn left	None
5.71	turn left	None
5.81	turn left	None
5.92	turn left	None
6.02	turn left	None
6.23	forward	None
6.33	forward	None
6.54	turn right	None
6.64	turn right	None
6.75	turn right	None
6.85	turn right	None
7.06	forward	None
7.16	forward	None
7.27	forward	None
7.37	forward	None
7.47	forward	None
7.58	forward	None
7.68	forward	None
7.79	forward	None
7.89	forward	None
7.99	forward	None
8.10	forward	None
8.20	forward	None
8.41	turn left	None
8.51	turn left	None
8.62	turn left	None
8.72	turn left	None
8.82	turn left	None
9.03	forward	None
9.13	forward	None
9.24	forward	None
9.44	turn left	None
9.55	turn left	None
9.65	turn left	None
9.76	turn left	None
9.86	turn left	None
9.97	turn left	None
10.07	turn left	None
10.17	turn left	None
10.28	turn left	None
10.38	turn left	None
10.49	turn left	None
10.59	turn left	None
10.80	forward	None
10.90	forward	None
11.00	forward	None
11.11	forward	None
11.22	forward	None
11.32	forward	None
11.42	forward	None
11.53	forward	None
11.73	turn left	None
11.94	forward	None
12.04	forward	None
12.15	forward	None
12.35	turn right slightly	None
12.46	turn right slightly	None
12.56	turn right slightly	None
12.67	turn right slightly	None
12.77	turn right slightly	None
12.88	turn right slightly	None
12.98	turn right slightly	None
13.08	turn right slightly	None
13.19	turn right slightly	None
13.29	turn right slightly	None
13.40	turn right slightly	None
13.50	turn right slightly	None
13.61	turn right slightly	None
13.71	turn right slightly	None
13.92	forward	None
14.02	forward	None
14.13	forward	None
14.23	forward	None
14.33	forward	None
14.44	forward	None
14.65	turn left	None
14.75	turn left	None
14.85	turn left	None
14.96	turn left	None
15.06	turn left	None
15.17	turn left	None
15.27	turn left	None
15.37	turn left	None
15.48	turn left	None
15.58	turn left	None
15.69	turn left	None
15.79	turn left	None
15.89	turn left	None
16.00	turn left	None
16.20	forward	None
16.31	forward	None
16.41	forward	None
16.62	turn left	None
16.72	turn left	None
16.83	turn left	None
16.93	turn left	None
17.04	turn left	None
17.14	turn left	None
17.24	turn left	None
17.35	turn left	None
17.45	turn left	None
17.56	turn left	None
17.76	forward	None
17.87	forward	None
17.97	forward	None
18.08	forward	None
18.28	turn right	None
18.39	turn right	None
18.49	turn right	None
18.59	turn right	None
18.70	turn right	None
18.91	forward	None
19.01	forward	None
19.11	forward	None
19.22	forward	None
19.32	forward	None
19.43	forward	None
19.63	turn left slightly	None
19.74	turn left slightly	None
19.84	turn left slightly	None
19.95	turn left slightly	None
20.05	turn left slightly	None
20.15	turn left slightly	None
20.36	forward	None
20.47	forward	None
20.57	forward	None
20.67	forward	None
20.88	turn left	None
20.98	turn left	None
21.09	turn left	None
21.19	turn left	None
21.40	forward	None
21.50	forward	None
21.71	turn left	None
21.81	turn left	None
21.92	turn left	None
22.02	turn left	None
22.13	turn left	None
22.23	turn left	None
22.34	turn left	None
22.44	turn left	None
22.54	turn left	None
22.65	turn left	None
22.75	turn left	None
22.86	turn left	None
22.96	turn left	None
23.07	turn left	None
23.17	turn left	None
23.28	turn left	None
23.38	turn left	None
23.59	forward	None
23.69	forward	None
23.79	forward	None
23.90	forward	None
24.00	forward	None
24.11	forward	None
24.21	forward	None
24.42	turn left slightly	None
24.62	forward	None
24.73	forward	None
24.83	forward	None
24.94	forward	None
25.04	forward	None
25.14	forward	None
25.25	forward	None
25.35	forward	None
25.46	forward	None
25.56	forward	None
25.77	turn right slightly	None
25.87	turn right slightly	None
25.98	turn right slightly	None
26.08	turn right slightly	None
26.18	turn right slightly	None
26.29	turn right slightly	None
26.39	turn right slightly	None
26.50	turn right slightly	None
26.60	turn right slightly	None
26.71	turn right slightly	None
26.81	turn right slightly	None
26.91	turn right slightly	None
27.02	turn right slightly	None
27.12	turn right slightly	None
27.33	forward	None
27.43	forward	None
27.54	forward	None
27.64	forward	None
27.75	forward	None
27.85	forward	None
27.96	forward	None
28.06	forward	None
28.17	forward	None
28.27	forward	None
28.37	forward	None
28.48	forward	None
28.69	turn left slightly	None
28.79	turn left slightly	None
28.89	turn left slightly	None
29.00	turn left slightly	None
29.10	turn left slightly	None
29.21	turn left slightly	None
29.31	turn left slightly	None
29.42	turn left slightly	None
29.52	turn left slightly	None
29.62	turn left slightly	None
29.73	turn left slightly	None
29.83	turn left slightly	None
29.94	turn left	None
30.04	turn left	None
30.15	turn left	None
30.25	turn left	None
30.35	turn left	None
30.46	turn left	None
30.56	turn left	None
30.67	turn left	None
30.77	turn left	None
30.88	turn left	None
30.98	turn left	None
31.08	turn left	None
31.19	turn left	None
31.29	turn left	None
31.40	turn left	None
31.60	forward	None
31.71	forward	None
31.91	turn left	None
32.02	turn left	None
32.22	forward	None
32.33	forward	None
32.43	forward	None
32.54	forward	None
32.64	forward	None
32.74	forward	None
32.85	forward	None
32.95	forward	None
33.16	turn right slightly	None
33.37	forward	None
33.57	turn right slightly	None
33.78	forward	None
33.88	forward	None
33.99	forward	None
34.09	forward	None
34.19	forward	None
34.40	turn left	None
34.50	turn left	None
34.61	turn left	None
34.71	turn left	None
34.95	forward	None
35.05	forward	None
35.15	forward	None
35.36	turn left	None
35.47	turn left	None
35.57	turn left	None
35.67	turn left	None
35.78	turn left	None
35.88	turn left	None
35.99	turn left	None
36.09	turn left	None
36.19	turn left	None
36.30	turn left	None
36.40	turn left	None
36.51	turn left	None
36.61	turn left	None
36.72	turn left	None
36.82	turn left	None
37.03	forward	None
37.13	forward	None
37.23	forward	None
37.34	forward	None
37.44	forward	None
37.55	forward	None
37.65	forward	None
37.76	forward	None
37.86	forward	None
37.96	forward	None
38.17	turn right slightly	None
38.27	turn right slightly	None
38.38	turn right slightly	None
38.48	turn right slightly	None
38.59	turn right slightly	None
38.69	turn right slightly	None
38.79	turn right slightly	None
38.90	turn right slightly	None
39.00	turn right slightly	None
39.11	turn right slightly	None
39.31	forward	None
39.42	forward	None
39.52	forward	None
39.63	forward	None
39.73	forward	None
39.83	forward	None
39.94	forward	None
40.04	forward	None
40.15	forward	None
40.25	forward	None
40.35	forward	None
40.46	forward	None
40.66	turn left slightly	None
40.77	turn left slightly	None
40.87	turn left slightly	None
40.98	turn left slightly	None
41.08	turn left slightly	None
41.19	turn left slightly	None
41.29	turn left slightly	None
41.39	turn left slightly	None
41.50	turn left slightly	None
41.60	turn left slightly	None
41.71	turn left	None
41.81	turn left	None
41.91	turn left	None
42.02	turn left	None
42.12	turn left	None
42.23	turn left	None
42.33	turn left	None
42.43	turn left	None
42.54	turn left	None
42.64	turn left	None
42.75	turn left	None
42.85	turn left	None
42.96	turn left	None
43.16	forward	None
43.27	forward	None
43.37	forward	None
43.47	forward	None
43.58	forward	None
43.68	forward	None
43.79	forward	None
43.89	forward	None
44.10	turn right slightly	None
44.20	turn right slightly	None
44.30	turn right slightly	None
44.41	turn right slightly	None
44.51	turn right slightly	None
44.72	forward	None
44.82	forward	None
44.93	forward	None
45.03	forward	None
45.13	forward	None
45.24	forward	None
45.34	forward	None
45.45	forward	None
45.55	forward	None
45.76	turn left slightly	None
45.86	turn left slightly	None
45.97	turn left slightly	None
46.07	turn left slightly	None
46.17	turn left slightly	None
46.28	turn left slightly	None
46.38	turn left slightly	None
46.49	turn left slightly	None
46.59	turn left slightly	None
46.69	turn left slightly	None
46.80	turn left slightly	None
46.90	turn left slightly	None
47.33	turn left slightly	None
47.44	turn left slightly	None
47.54	turn left slightly	None
47.64	turn left slightly	None
48.18	turn left	None
48.28	turn left	None
48.39	turn left	None
48.49	turn left	None
48.60	turn left	None
48.70	turn left	None
48.81	turn left	None
48.91	turn left	None
49.02	turn left	None
49.12	turn left	None
49.44	forward	None
49.54	forward	None
49.74	turn left	None
49.85	turn left	None
49.95	turn left	None
50.06	turn left	None
50.16	turn left	None
50.27	turn left	None
50.47	forward	None
50.58	forward	None
50.78	turn left	None
50.89	turn left	None
50.99	turn left	None
51.20	forward	None
51.30	forward	None
51.40	forward	None
51.51	forward	None
51.61	forward	None
51.72	forward	None
51.82	forward	None
52.03	turn right	None
52.13	turn right	None
52.24	turn right	None
52.44	forward	None
52.55	forward	None
52.65	forward	None
52.75	forward	None
52.86	forward	None
52.96	forward	None
53.17	turn right slightly	None
53.27	turn right slightly	None
53.38	turn right slightly	None
53.48	turn right slightly	None
53.59	turn right slightly	None
53.69	turn right slightly	None
53.79	turn right slightly	None
53.90	turn right slightly	None
54.00	turn right slightly	None
54.11	turn right slightly	None
54.21	turn right slightly	None
54.42	forward	None
54.52	forward	None
54.63	forward	None
54.73	forward	None
54.83	forward	None
54.94	forward	None
55.04	forward	None
55.15	forward	None
55.25	forward	None
55.35	forward	None
55.46	forward	None
55.56	forward	None
55.67	forward	None
55.77	forward	None
55.98	turn left slightly	None
56.08	turn left slightly	None
56.19	turn left slightly	None
56.29	turn left slightly	None
56.40	turn left slightly	None
56.50	turn left slightly	None
56.60	turn left slightly	None
56.71	turn left slightly	None
56.81	turn left slightly	None
56.92	turn left slightly	None
57.02	turn left slightly	None
57.13	turn left slightly	None
57.23	turn left slightly	None
57.33	turn left	None
57.44	turn left	None
57.54	turn left	None
57.65	turn left	None
57.75	turn left	None
57.86	turn left	None
57.96	turn left	None
58.06	turn left	None
58.17	turn left	None
58.27	turn left	None
58.38	turn left	None
58.48	turn left	None
58.59	turn left	None
58.69	turn left	None
58.79	turn left	None
58.90	turn left	None
59.00	turn left	None
59.11	turn left	None
59.21	turn left	None
59.42	forward	None
59.52	forward	None
59.63	forward	None
59.73	forward	None
59.83	forward	None
59.94	forward	None
60.04	forward	None
60.25	turn right	None
60.35	turn right	None
60.46	turn right	None
60.66	forward	None
60.77	forward	None
60.87	forward	None
60.98	forward	None
61.08	forward	None
61.19	forward	None
61.29	forward	None
61.39	forward	None
61.50	forward	None
61.60	forward	None
61.71	forward	None
61.81	forward	None
61.91	forward	None
62.12	turn left	None
62.22	turn left	None
62.33	turn left	None
62.43	turn left	None
62.54	turn left	None
62.64	turn left	None
62.75	turn left	None
62.85	turn left	None
62.95	turn left	None
63.06	turn left	None
63.16	turn left	None
63.27	turn left	None
63.37	turn left	None
63.47	turn left	None
63.58	turn left	None
63.79	forward	None
63.89	forward	None
63.99	forward	None
64.20	turn left	None
64.30	turn left	None
64.41	turn left	None
64.61	forward	None
64.72	forward	None
64.82	forward	None
64.93	forward	None
65.03	forward	None
65.14	forward	None
65.24	forward	None
65.34	forward	None
65.45	forward	None
65.55	forward	None
65.66	forward	None
65.76	forward	None
65.87	forward	None
65.97	forward	None
66.18	turn right	None
66.28	turn right	None
66.39	turn right	None
66.49	turn right	None
66.59	turn right	None
66.70	turn right	None
66.80	turn right	None
67.01	forward	None
67.11	forward	None
67.22	forward	None
67.32	forward	None
67.43	forward	None
67.63	turn left slightly	None
67.74	turn left slightly	None
67.84	turn left slightly	None
67.95	turn left slightly	None
68.05	turn left slightly	None
68.15	turn left slightly	None
68.36	forward	None
68.47	forward	None
68.57	forward	None
68.67	forward	None
68.88	turn left slightly	None
69.09	turn left	None
69.20	turn left	None
69.30	turn left	None
69.40	turn left	None
